Player	G	team	W	cor_WL_GmSc	cor_margin_GmSc	cor_WL_MP	cor_margin_MP	cor_WL_USG	cor_margin_USG	cor_WL_ORtg	cor_margin_ORtg	cor_WL_DRtg	cor_margin_DRtg	cor_WL_BPM	cor_margin_BPM	cor_GmSc_BPM	PTS_sd	MP_sd	GmSc	GmSc_sd	USG_sd	ORtg	ORtg_sd	DRtg	DRtg_sd	BPM_log	BPM_sd	GmSc_diff	MP_diff	GmSc_diff_abs	MP_diff_abs	Season	Age	Tm	Lg	Pos	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	X1.x	FT%	ORB	DRB	TRB	X2.x	STL	BLK	TOV	PF	PTS	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	X1.y	OWS	DWS	WS	WS/48	X2.y	OBPM	DBPM	BPM	VORP
Lonzo Ball	35	CHI	22	0.338217845426104	0.476803330289583	0.0974766354086503	0.0677351541102666	-0.0826639085924092	-0.222907078465615	0.32694559558473	0.507968892954057	-0.511113741469728	-0.727300718099055	0.375176483513143	0.583425088702137	0.950443628883958	5.70861062729958	3.98857659204704	11.8342857142857	7.12121696709467	4.18040245740555	108.657142857143	35.8821132379375	108.857142857143	15.1252474109912	2.31142857142857	7.79538971702737	-0.0764705882352941	-0.287254901960784	9.06470588235294	3.50686274509804	2021-22	24	CHI	NBA	PG	35	34.6	4.6	10.9	0.423	3.1	7.4	0.423	1.5	3.5	0.423	0.567	0.6	0.8	0.75	1	4.4	5.4	5.1	1.8	0.9	2.3	2.4	13	14.5	0.575	0.679	0.073	3.3	14.3	8.8	20	2.6	2.2	17.2	17.4	NA	0.8	1.4	2.2	0.088	NA	0.9	1.6	2.5	1.4
Jaylen Brown	66	BOS	43	0.177822636858577	0.372127139158318	-0.236441041518538	-0.315688886916077	-0.0433646300096936	0.0892492157701592	0.319487964539232	0.581655533872494	-0.469365558876402	-0.615272653258499	0.205834573669405	0.452254177580491	0.864931363780387	8.18397148561683	6.34470108594423	15.9121212121212	8.33896350599476	5.37712521004259	109.257575757576	24.2628621598211	107.530303030303	12.7523387863617	1.86969696969697	8.68673559465092	-0.401538461538462	-0.352564102564103	9.10923076923077	5.64435897435897	2021-22	25	BOS	NBA	SF	66	33.6	8.7	18.4	0.473	2.5	7	0.358	6.2	11.4	0.544	0.541	3.7	4.8	0.758	0.8	5.3	6.1	3.5	1.1	0.3	2.7	2.5	23.6	18.9	0.574	0.381	0.261	2.6	16.7	9.8	17.9	1.6	0.7	11.6	30.5	NA	2.3	3.4	5.8	0.124	NA	1.9	0.1	2.1	2.2
Bruno Fernando	30	BOS_HOU	15	-0.40390676989857	-0.198745067057395	-0.391848421695496	-0.200204578182884	-0.220376478882313	-0.213927593683102	-0.207396602320997	0.0479156700117636	-0.559203050727128	-0.647799539096695	-0.0550441697112587	0.186230261860591	0.444863623088958	4.75563791241753	5.73779411358674	2.46666666666667	4.34799464940613	15.8918865296498	76.3333333333333	74.5424356500623	110.9	18.0064164808759	-3.46	15.151797435197	0.358620689655172	0.598850574712644	3.42758620689655	3.61609195402299	2021-22	23	TOT	NBA	C	0	5.1	1.2	1.8	0.655	0	0.1	0.5	1.2	1.8	0.66	0.664	0.5	0.8	0.625	0.6	1.2	1.8	0.2	0	0.4	0.5	0.8	2.9	21.2	0.671	0.036	0.436	13	26.6	19.8	7.5	0.3	6.5	17.6	22.4	NA	0.2	0.2	0.4	0.14	NA	-0.4	0.2	-0.1	0.1
Malik Fitts	15	UTA_BOS	13	0.158214664020532	0.458129059421866	-0.622854205490453	-0.368690416198701	-0.275354335509909	-0.13744221542055	0.0930180353627111	0.392464869909983	-0.422935451260756	-0.48509880502802	0.26027112635479	0.534658541717017	0.752771142192449	2.5298221281347	5.11691483809507	1.11333333333333	2.72864871493635	10.7881328098893	53.0666666666667	102.862228710242	108.4	14.4953194416089	-2.40666666666667	22.6862597391545	0.557142857142857	0.533333333333333	2.38571428571429	4.34761904761905	2021-22	24	TOT	NBA	PF	0	4.2	0.5	1.3	0.421	0.3	0.7	0.5	0.2	0.6	0.333	0.553	0	0	NA	0.1	1	1.1	0.3	0	0	0.1	0.3	1.4	10.7	0.553	0.526	0	3.5	25.2	14.7	12.7	0	0	9.5	14.6	NA	0.1	0.1	0.1	0.097	NA	-0.6	-0.5	-1.1	0
Enes Freedom	35	BOS	20	0.108517077515026	-0.0353943716652396	0.0261175968797849	0.0337189046003324	-0.0319564457962763	-0.105896208353758	0.153273779346401	-0.0515329823158996	-0.603336032751213	-0.695845234619187	0.0788549207685868	-0.0659556782365562	0.644425114255632	3.57230241410426	7.93008578164207	3.85428571428571	4.32614098225189	8.98196886578229	115.114285714286	75.5621175817974	106.885714285714	15.7979362549659	-3.12285714285714	13.0424439633765	0.197058823529412	0.197549019607843	5.22058823529412	7.29166666666667	2021-22	29	BOS	NBA	C	1	11.7	1.5	2.8	0.526	0.1	0.1	0.4	1.4	2.6	0.533	0.536	0.7	0.8	0.857	1.7	2.8	4.6	0.2	0.1	0.4	0.6	1.2	3.7	15	0.585	0.052	0.289	16.5	25.4	21	2.7	0.6	3.1	15.5	13.9	NA	0.6	0.7	1.4	0.16	NA	-1.2	-0.2	-1.4	0.1
Sam Hauser	26	BOS	20	-0.409893873431114	-0.0336052526483966	-0.465999088612089	-0.097128469709011	0.0536581012485871	-0.029576281827599	-0.186569979465784	0.00297825483235259	-0.266570635434366	-0.369000229879472	-0.138975864749285	0.0658317819023857	0.548069481802514	3.30151480384384	5.15521758765509	2.09615384615385	3.41203525998554	13.626149069401	108.269230769231	113.460674312224	110.230769230769	13.4857189420741	-1.06153846153846	26.3720318052755	0.2	0.352	3.32	4.91733333333333	2021-22	24	BOS	NBA	SF	0	6.1	0.9	1.9	0.46	0.7	1.7	0.432	0.2	0.2	0.667	0.65	0	0	NA	0.2	0.9	1.1	0.4	0	0.1	0.1	0.3	2.5	14.8	0.65	0.88	0	3.5	16	9.9	9.1	0.3	1.2	3.8	14.5	NA	0.4	0.2	0.6	0.171	NA	2.7	-0.3	2.3	0.2
Juancho Hernangómez	40	BOS_SAS_UTA	20	-0.0706189820149734	0.107334767807883	-0.0767344596754011	0.0781574187076382	0.0745340299457317	-0.0496364588943981	-0.272122363210955	-0.113072762447739	-0.562287787000933	-0.539157931284149	-0.0875050708985513	0.0568362018068625	0.592568280005169	4.59089120447022	9.55753249277382	2.965	4.30226833432235	14.5727122495331	77.95	71.0831762706053	110.825	22.0185091136921	-5.44	15.2770113871489	0.476923076923077	0.707692307692308	2.94358974358974	5.58547008547009	2021-22	26	TOT	NBA	PF	9	11.1	1.1	2.7	0.415	0.6	1.7	0.348	0.5	0.9	0.541	0.528	0.5	0.9	0.559	0.7	1.8	2.5	0.5	0.4	0.3	0.4	0.6	3.3	11.5	0.542	0.651	0.321	7	17.1	12.2	6	1.6	2	11.7	13.4	NA	0.3	0.6	0.9	0.095	NA	-0.7	0.1	-0.6	0.2
Al Horford	69	BOS	46	-0.0315711398801398	-0.0687938445195947	-0.0944391642934268	-0.157731889713777	-0.154631017267214	-0.0525428159921174	0.249211324504649	0.155103403870431	-0.403512867948235	-0.473798546127142	0.0600104843513381	-0.0136777188598172	0.847129733245569	4.85260145030113	5.23587631185601	11.0739130434783	5.49319504622372	4.78661550362463	124.130434782609	35.4163941115835	103.811594202899	13.9170603749487	4.08115942028985	6.58836486369362	-0.00147058823529413	-0.0134803921568628	5.46029411764706	5.3968137254902	2021-22	35	BOS	NBA	C	69	29.1	3.9	8.2	0.467	1.3	3.8	0.336	2.6	4.4	0.582	0.546	1.2	1.4	0.842	1.6	6.1	7.7	3.4	0.7	1.3	0.9	1.9	10.2	16.7	0.574	0.466	0.167	6	22.2	14.3	16.4	1.2	4.2	9.6	14.8	NA	3.7	3.8	7.6	0.181	NA	1.4	2.9	4.3	3.2
Justin Jackson	7	BOS_PHO	6	-0.529111614127396	-0.38573162198799	-0.473762919816286	-0.232621832827688	0.300919227412349	0.0851129123015735	-0.706403586957968	-0.551683983577897	-0.628148634537008	-0.742766467039586	-0.279800722327219	-0.000980125030032052	0.71180627521726	3.18478525851542	3.62109121499329	1.17142857142857	3.52406691466658	24.7438496446712	83.2857142857143	102.19542436873	112.571428571429	15.0427960926722	-11.3714285714286	35.7295729186955	-0.4	-0.125	3.56666666666667	5.76944444444444	2021-22	26	TOT	NBA	SF	0	5.3	0.7	2.1	0.333	0.4	1.3	0.333	0.3	0.9	0.333	0.433	0.3	0.3	1	0.1	0.9	1	0.3	0	0	0.1	0.4	2.1	7.7	0.472	0.6	0.133	3	16.9	10.1	7.1	0	0	5.9	19.7	NA	0	0	0	0.032	NA	-2.2	-1.1	-3.3	0
Joe Johnson	1	BOS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1.7	NA	NA	200	NA	115	NA	15	NA	NA	NA	NA	NA	2021-22	40	BOS	NBA	SG	0	2	1	1	1	0	0	NA	1	1	1	1	0	0	NA	0	0	0	0	0	0	0	0	2	38.7	1	0	0	0	0	0	0	0	0	0	22	NA	0	0	0	0.335	NA	12.1	2.8	15	0
